地区,高考人数,北京大学,清华大学,中国人民大学,北京师范大学,北京航空航天大学,北京理工大学,复旦大学,上海交通大学,同济大学,华东师范大学,浙江大学,南京大学,东南大学,中山大学,华南理工大学,武汉大学,华中科技大学,中国科学技术大学
北京,55786,188,190,184,138,273,243,26,35,26,21,20,42,44,48,41,93,92,20
天津,56764,40,39,47,17,88,71,19,38,70,24,25,37,71,50,19,85,67,20
河北,492091,42,40,106,95,198,149,26,66,141,74,68,45,165,132,122,150,175,35
上海,44839,26,26,25,5,0,32,51,197,449,570,62,46,14,38,8,60,46,10
江苏,220829,50,40,97,34,96,113,127,230,134,215,73,687,628,110,60,211,250,35
浙江,268996,31,30,114,40,108,95,9,64,120,204,1880,66,146,114,46,170,226,70
福建,214883,45,51,119,107,89,99,70,84,145,129,47,56,101,170,106,145,81,30
山东,594771,66,74,120,186,170,169,78,107,145,139,122,83,162,192,80,200,183,42
广东,670616,48,66,126,558,150,90,83,156,105,57,179,94,92,3630,3030,295,220,90
海南,55945,14,11,14,25,22,27,8,10,25,20,6,22,38,45,44,45,52,7
山西,119236,210,51,82,107,146,134,41,94,122,69,64,56,147,118,99,125,89,26
安徽,468873,39,48,111,99,145,93,67,110,165,193,61,63,272,217,149,285,242,176
江西,465722,33,30,93,111,117,219,56,107,144,143,65,61,105,219,191,380,464,63
河南,842585,59,62,141,198,191,145,61,142,150,213,59,75,48,257,163,593,518,101
湖北,332406,53,60,119,79,178,127,48,123,73,45,74,49,115,205,93,1645,1739,75
湖南,429734,52,53,115,118,165,146,82,113,116,84,96,56,120,228,200,450,503,63
内蒙古,103267,20,33,47,54,98,83,10,13,47,49,31,21,72,58,42,100,55,16
广西,374616,30,40,60,116,56,58,30,48,124,73,46,46,81,230,253,240,240,35
重庆,182326,29,21,97,97,102,100,69,63,89,122,32,44,104,142,103,125,119,26
四川,459078,47,56,128,223,138,120,86,150,159,202,97,66,145,209,142,210,250,60
贵州,341181,35,33,63,103,93,76,53,49,111,108,59,62,94,186,144,145,130,29
云南,311667,20,28,84,112,72,127,49,34,95,86,31,34,75,172,123,122,134,20
西藏,30000,8,5,9,10,0,7,3,5,4,17,7,2,5,16,0,45,15,0
陕西,251967,41,44,81,59,143,122,17,34,74,49,74,51,107,117,66,127,127,39
甘肃,196273,21,28,56,22,93,51,14,29,101,48,24,37,70,108,87,127,95,42
青海,47210,15,14,10,39,20,30,10,4,21,19,7,15,46,49,31,45,38,9
宁夏,65062,17,15,18,31,29,32,13,12,29,18,20,14,40,44,24,70,63,9
新疆,29300,29,29,71,68,113,35,20,10,80,77,31,22,44,72,57,135,71,11
辽宁,185433,44,46,68,45,120,90,28,76,96,76,52,33,65,87,61,80,63,28
吉林,116446,37,31,83,87,117,110,50,32,85,87,52,29,45,82,54,70,55,38
黑龙江,165282,33,36,67,75,112,97,19,28,78,48,34,37,49,79,51,60,65,22
